j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,7.663946133336419,0.0
0,0.5,True,1.0,0.0,-7.663946133336419,0.0
1,-1.5,False,0.0,1.0,6.82015732508715,22.0
1,-0.5,False,0.07121507731822035,-0.9974609830778144,7.739168553835707,22.0
1,0.5,False,0.06473994252582586,-0.9979021694744195,8.576087631982832,22.0
1,-0.5,True,0.9974609830778144,0.07121507731822035,-7.092957362084977,22.0
1,0.5,True,0.9979021694744195,0.06473994252582586,-7.732298823733562,22.0
1,1.5,True,1.0,0.0,-8.31015732508715,22.0
2,-2.5,False,0.0,1.0,5.97636851683788,66.0
2,-1.5,False,0.11085710352611299,-0.9938363560455015,6.986358816156717,66.0
2,-0.5,False,0.1215251171124687,-0.9925883567274003,7.887369591561363,66.0
2,0.5,False,0.11075646559854262,-0.9938475765066385,8.711102279262553,66.0
2,1.5,False,0.08347899653209905,-0.99650953690268,9.476343132115467,66.0
2,-1.5,True,0.9938363560455015,0.11085710352611299,-6.5377252409045274,66.0
2,-0.5,True,0.9925883567274003,0.1215251171124687,-7.241158399810633,66.0
2,0.5,True,0.9938475765066385,0.11075646559854262,-7.867313471013284,66.0
2,1.5,True,0.99650953690268,0.08347899653209905,-8.434976707367657,66.0
2,2.5,True,1.0,0.0,-8.95636851683788,66.0
3,-3.5,False,0.0,1.0,5.13257970858861,132.0
3,-2.5,False,0.1505934180600276,-0.988595783137374,6.254352091292386,132.0
3,-1.5,False,0.17068819654037662,-0.9853250933381296,7.2282701281056365,132.0
3,-0.5,False,0.1682287593858669,-0.985747982252813,8.104380542594027,132.0
3,0.5,False,0.15386119098940815,-0.988092472346248,8.909598286638943,132.0
3,1.5,False,0.12998551899026148,-0.9915158923854083,9.660376565986237,132.0
3,2.5,False,0.09401705169475193,-0.9955705871461985,10.367644772420427,132.0
3,-2.5,True,0.988595783137374,0.1505934180600276,-6.003296132538734,132.0
3,-1.5,True,0.9853250933381296,0.17068819654037662,-6.779636552853447,132.0
3,-0.5,True,0.985747982252813,0.1682287593858669,-7.4581693508432965,132.0
3,0.5,True,0.988092472346248,0.15386119098940815,-8.065809478389674,132.0
3,1.5,True,0.9915158923854083,0.12998551899026148,-8.619010141238427,132.0
3,2.5,True,0.9955705871461985,0.09401705169475193,-9.128700731174078,132.0
3,3.5,True,1.0,0.0,-9.60257970858861,132.0
4,-4.5,False,0.0,1.0,4.28879090033934,220.0
4,-3.5,False,0.19445622203984494,-0.9809111976677555,5.550307546189151,220.0
4,-2.5,False,0.22048192786568063,-0.9753910597727625,6.606475826320015,220.0
4,-1.5,False,0.22158276690433643,-0.9751415678818223,7.538382852108595,220.0
4,-0.5,False,0.211423525036066,-0.9773945431919108,8.384646378903849,220.0
