j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,21.28873925926783,-0.0
1,-0.5,False,-1.5,False,3,2,-10.972167670515745,0.19385567048377753
1,0.5,False,-0.5,False,4,3,-9.053377783952676,0.18134518448050727
1,0.5,False,-0.5,True,4,5,-34.32308898845697,-0.08434408139123245
1,-0.5,True,-1.5,False,5,2,14.297543533988556,-0.04919328227801958
1,0.5,True,-0.5,True,6,5,-1.3133490076373597,-0.18134518448050677
1,0.5,True,-0.5,False,6,3,23.95636219686694,-0.08434408139123238
1,1.5,True,0.5,True,7,6,-2.062182058673404,0.19651977265416143
1,1.5,True,0.5,False,7,4,30.947557922146213,0.03714806799763285
2,-1.5,False,-2.5,False,9,8,-13.527033875299434,0.1821845966372909
2,-0.5,False,-1.5,False,10,9,-9.492735265542013,-0.10130601320017496
2,-0.5,False,-1.5,True,10,13,-31.35217887961369,-0.03394526530115493
2,0.5,False,-0.5,False,11,10,-8.518475850105117,0.0643710760988764
2,0.5,False,-0.5,True,11,14,-38.996663203670785,-0.051566322830972414
2,1.5,False,0.5,False,12,11,-8.004771084148775,0.19400375711321366
2,1.5,False,0.5,True,12,15,-45.15318334633464,-0.042098583501583804
2,-1.5,True,-2.5,False,13,8,8.332409738772245,-0.0873218144493103
2,-0.5,True,-1.5,True,14,13,-0.8739915260480249,-0.1825097150710428
2,-0.5,True,-1.5,False,14,9,20.985452088023653,-0.05379648851788085
2,0.5,True,-0.5,True,15,14,-1.8482509414849186,-0.06437107609887611
2,0.5,True,-0.5,False,15,10,28.629936412080745,-0.051566322830972386
2,1.5,True,0.5,True,16,15,-2.3619557074412647,0.08926287991059327
2,1.5,True,0.5,False,16,11,34.7864565547446,-0.015538255443648665
2,2.5,True,1.5,True,17,16,-2.692925887710281,0.1978090819505937
2,2.5,True,1.5,False,17,12,40.098301751183094,0.0410839826267562
3,-2.5,False,-3.5,False,19,18,-17.60781259003592,0.15156905980452562
3,-1.5,False,-2.5,False,20,19,-9.543932286185248,-0.16208881099230082
3,-1.5,False,-2.5,True,20,25,-31.0449333297299,-0.0009644721975339465
3,-0.5,False,-1.5,False,21,20,-8.54160842921388,-0.07632124542696633
3,-0.5,False,-1.5,True,21,26,-38.763747253538995,-0.03125904411701961
3,0.5,False,-0.5,False,22,21,-8.018666604617312,0.036112194457147376
3,0.5,False,-0.5,True,22,27,-44.957295495780144,-0.04072925698379649
3,1.5,False,0.5,False,23,22,-7.683322837212561,0.13810548942576625
3,1.5,False,0.5,True,23,28,-50.292558146019985,-0.03819375986825435
3,2.5,False,1.5,False,24,23,-7.444646117395209,0.18895748051804004
3,2.5,False,1.5,True,24,29,-55.05380030903771,-0.026695480259338707
3,-2.5,True,-3.5,False,25,18,3.893188453508735,-0.11859113435248513
3,-1.5,True,-2.5,True,26,25,-0.82279450540479,-0.17723025693039426
3,-1.5,True,-2.5,False,26,19,20.67820653813986,-0.03968604833097039
3,-0.5,True,-1.5,True,27,26,-1.8251183623761555,-0.12640473313855174
3,-0.5,True,-1.5,False,27,20,28.397020461948955,-0.04904047596347067
3,0.5,True,-0.5,True,28,27,-2.3480601869727273,-0.03611219445714754
3,0.5,True,-0.5,False,28,21,34.590568704190105,-0.04072925698379651
3,1.5,True,0.5,True,29,28,-2.683403954377475,0.06471796974555771
